date;time;value
01-02-2017;14:01:09;2
01-02-2017;14:01:09;2
01-02-2017;14:01:12;2
01-02-2017;14:01:12;2
01-02-2017;14:01:15;2
01-02-2017;14:01:15;2
01-02-2017;14:01:18;2
01-02-2017;14:01:18;2
01-02-2017;14:01:20;2
01-02-2017;14:01:20;2
01-02-2017;14:01:23;2
01-02-2017;14:01:23;2
01-02-2017;14:01:26;2
01-02-2017;14:01:26;2
01-02-2017;14:01:29;2
01-02-2017;14:01:29;2
01-02-2017;14:01:31;2
01-02-2017;14:01:31;2
01-02-2017;14:01:34;2
01-02-2017;14:01:34;2
01-02-2017;14:01:37;2
01-02-2017;14:01:37;2
01-02-2017;14:01:40;2
01-02-2017;14:01:40;2
01-02-2017;14:01:42;2
01-02-2017;14:01:42;2
01-02-2017;14:01:45;2
01-02-2017;14:01:45;2
01-02-2017;14:01:48;2
01-02-2017;14:01:48;2
01-02-2017;14:01:51;2
01-02-2017;14:01:51;2
01-02-2017;14:01:53;2
01-02-2017;14:01:53;2
01-02-2017;14:01:56;2
01-02-2017;14:01:56;2
01-02-2017;14:01:59;2
01-02-2017;14:01:59;2
01-02-2017;14:02:02;2
01-02-2017;14:02:02;2
01-02-2017;14:02:04;2
01-02-2017;14:02:04;2
01-02-2017;14:02:07;2
01-02-2017;14:02:07;2
01-02-2017;14:02:10;2
01-02-2017;14:02:10;2
01-02-2017;14:02:13;2
01-02-2017;14:02:13;2
01-02-2017;14:02:15;2
01-02-2017;14:02:15;2
01-02-2017;14:02:18;2
01-02-2017;14:02:18;2
01-02-2017;14:02:56;0
01-02-2017;14:02:58;0
01-02-2017;14:03:00;0
01-02-2017;14:03:02;0
01-02-2017;14:03:04;0
01-02-2017;14:03:06;0
01-02-2017;14:03:08;0
01-02-2017;15:40:44;0
01-02-2017;15:40:46;0
01-02-2017;15:40:48;0
01-02-2017;15:40:50;0
01-02-2017;15:40:52;0
01-02-2017;15:40:54;0
01-02-2017;15:40:56;0
01-02-2017;15:40:58;0
01-02-2017;15:41:00;0
01-02-2017;15:41:03;0
01-02-2017;15:41:05;0
01-02-2017;15:41:07;0
01-02-2017;15:41:09;0
01-02-2017;15:41:11;0
01-02-2017;15:41:13;0
01-02-2017;15:41:15;0
01-02-2017;15:41:17;0
01-02-2017;15:43:06;0
01-02-2017;15:43:08;1
01-02-2017;15:43:16;1
01-02-2017;15:43:23;0
01-02-2017;15:43:25;0
01-02-2017;15:43:27;0
01-02-2017;15:43:29;0
01-02-2017;15:43:31;0
01-02-2017;15:43:33;0
01-02-2017;15:43:35;0
01-02-2017;15:43:37;0
01-02-2017;15:43:39;0
01-02-2017;15:43:41;0
01-02-2017;15:46:43;0
01-02-2017;15:46:45;0
01-02-2017;15:46:47;0
01-02-2017;15:46:49;0
